Scan	C0S/m	Tnc90C	PrM	DepSM	Sal00	SvCM	AvgsvCM	Density00	Flag
23	4.710223	21.2159	1.007	1.000	33.3622	1522.99	1522.99	1023.1936	0.0000e+00
28	4.639018	20.5488	2.014	2.000	33.3148	1521.14	1522.06	1023.3411	0.0000e+00
32	4.609462	20.1813	3.021	3.000	33.3654	1520.20	1521.44	1023.4811	0.0000e+00
36	4.601139	20.0836	4.028	4.000	33.3749	1519.96	1521.07	1023.5184	0.0000e+00
42	4.591421	19.9864	5.035	5.000	33.3726	1519.70	1520.80	1023.5465	0.0000e+00
47	4.584961	19.9175	6.042	6.000	33.3743	1519.53	1520.59	1023.5702	0.0000e+00
53	4.580028	19.8658	7.049	7.000	33.3748	1519.40	1520.42	1023.5884	0.0000e+00
59	4.575020	19.8107	8.056	8.000	33.3774	1519.27	1520.27	1023.6091	0.0000e+00
65	4.564820	19.7085	9.063	9.000	33.3750	1519.00	1520.13	1023.6382	0.0000e+00
71	4.556896	19.6269	10.071	10.000	33.3748	1518.78	1520.00	1023.6635	0.0000e+00
77	4.544811	19.5086	11.077	11.000	33.3696	1518.46	1519.86	1023.6945	0.0000e+00
83	4.531790	19.3797	12.084	12.000	33.3652	1518.11	1519.71	1023.7285	0.0000e+00
89	4.502495	19.0854	13.092	13.000	33.3586	1517.28	1519.52	1023.8030	0.0000e+00
95	4.463502	18.6852	14.099	14.000	33.3561	1516.15	1519.28	1023.9062	0.0000e+00
101	4.413214	18.1694	15.106	15.000	33.3514	1514.66	1518.97	1024.0348	0.0000e+00
107	4.405902	18.0648	16.113	16.000	33.3744	1514.40	1518.69	1024.0825	0.0000e+00
113	4.383920	17.8351	17.120	17.000	33.3752	1513.74	1518.39	1024.1435	0.0000e+00
118	4.293498	16.9474	18.127	18.000	33.3289	1511.06	1517.99	1024.3244	0.0000e+00
124	4.237099	16.3674	19.134	19.000	33.3188	1509.30	1517.53	1024.4558	0.0000e+00
130	4.208109	16.0763	20.141	20.000	33.3067	1508.41	1517.07	1024.5174	0.0000e+00
135	4.185771	15.8433	21.149	21.000	33.3041	1507.70	1516.62	1024.5725	0.0000e+00
140	4.171638	15.6970	22.155	22.000	33.3012	1507.26	1516.19	1024.6075	0.0000e+00
145	4.162330	15.6043	23.163	23.000	33.2961	1506.98	1515.79	1024.6287	0.0000e+00
150	4.147125	15.4395	24.170	24.000	33.2990	1506.48	1515.40	1024.6720	0.0000e+00
155	4.117853	15.1279	25.177	25.000	33.2998	1505.52	1515.00	1024.7455	0.0000e+00
160	4.102517	14.9579	26.184	26.000	33.3056	1505.00	1514.61	1024.7914	0.0000e+00
165	4.073518	14.6485	27.191	27.000	33.3061	1504.03	1514.22	1024.8629	0.0000e+00
171	4.050041	14.3768	28.198	28.000	33.3243	1503.20	1513.82	1024.9392	0.0000e+00
176	4.044697	14.2958	29.206	29.000	33.3447	1502.97	1513.44	1024.9765	0.0000e+00
182	4.043133	14.2779	30.213	30.000	33.3453	1502.93	1513.09	1024.9853	0.0000e+00
192	4.042751	14.2814	31.220	31.000	33.3384	1502.95	1512.76	1024.9837	0.0000e+00
