transect,waypoint,lat,long,type,region,depth
20,20.1,34.739594,-120.64028,Adaptive,Central CA,-35
20,20.2,34.425288,-121.302247,Adaptive,Central CA,-2015
22,22.1,35.123962,-120.659856,Adaptive,Central CA,-23
22,22.2,34.645409,-121.671605,Adaptive,Central CA,-2083
24,24.1,35.395606,-120.909101,Adaptive,Central CA,-44
24,24.2,34.989137,-121.77133,Adaptive,Central CA,-2018
26,26.1,35.629602,-121.245674,Adaptive,Central CA,-36
26,26.2,35.327059,-121.888067,Adaptive,Central CA,-1987
28,28.1,35.906028,-121.489394,Adaptive,Central CA,-61
28,28.2,35.607813,-122.126138,Adaptive,Central CA,-1983
30,30.1,36.186244,-121.719155,Adaptive,Central CA,-30
30,30.2,35.887156,-122.359648,Adaptive,Central CA,-3075
32,32.1,36.477071,-121.946612,Adaptive,Central CA,-30
32,32.2,36.179801,-122.585799,Adaptive,Central CA,-3222
34,34.1,36.903821,-121.881045,Adaptive,Central CA,-21
34,34.2,36.577806,-122.584862,Adaptive,Central CA,-2692
36,36.1,37.081073,-122.32559,Adaptive,Central CA,-44
36,36.2,36.783281,-122.971213,Adaptive,Central CA,-2959
38,38.1,37.416647,-122.463188,Adaptive,Central CA,-29
38,38.2,37.102425,-123.147049,Adaptive,Central CA,-1975
40,40.1,37.736327,-122.617093,Adaptive,Central CA,-19
40,40.2,37.375899,-123.405133,Adaptive,Central CA,-975
42,42.1,38.011601,-122.880899,Adaptive,Central CA,-17
42,42.2,37.683471,-123.601271,Adaptive,Central CA,-3046
44,44.1,38.310202,-123.087263,Adaptive,Central CA,-26
44,44.2,38.01274,-123.742803,Adaptive,Central CA,-3054
46,46.1,38.581493,-123.354297,Adaptive,Central CA,-61
46,46.2,38.287515,-124.004088,Adaptive,Central CA,-3479
48,48.1,38.835544,-123.653384,Adaptive,Central CA,-37
48,48.2,38.542692,-124.303519,Adaptive,Central CA,-3494
50,50.1,39.180104,-123.767671,Adaptive,Central CA,-29
50,50.2,38.890654,-124.41402,Adaptive,Central CA,-3381
52,52.1,39.567111,-123.789027,Adaptive,Central CA,-40
52,52.2,39.247422,-124.505286,Adaptive,Central CA,-2840
54,54.1,39.893332,-123.937637,Adaptive,Central CA,-37
54,54.2,39.572789,-124.659266,Adaptive,Central CA,-2240
56,56.1,40.155562,-124.229511,Adaptive,Central CA,-31
56,56.2,39.812387,-125.005557,Adaptive,Central CA,-1937
58,58.1,40.437008,-124.481394,Adaptive,Central CA,-41
58,58.2,40.108364,-125.226779,Adaptive,Central CA,-1684
60,60.1,40.667918,-124.324524,Adaptive,Central CA,-21
60,60.2,40.668124,-125.113991,Adaptive,Central CA,-2701
62,62.1,41.00083,-124.157028,Adaptive,Central CA,-21
62,62.2,41.001155,-124.988761,Adaptive,Central CA,-3018
64,64.1,41.33609,-124.202214,Adaptive,Central CA,-66
64,64.2,41.336487,-125.007138,Adaptive,Central CA,-2043
66,66.1,41.66758,-124.162114,Adaptive,Central CA,-25
66,66.2,41.66739,-125.09056,Adaptive,Central CA,-1766
68,68.1,41.999475,-124.253785,Adaptive,WA/OR,-19
68,68.2,41.999856,-125.149218,Adaptive,WA/OR,-1720
70,70.1,42.332482,-124.447346,Adaptive,WA/OR,-26
70,70.2,42.332703,-125.251598,Adaptive,WA/OR,-3096
72,72.1,42.660306,-124.437387,Adaptive,WA/OR,-37
72,72.2,42.660504,-125.326559,Adaptive,WA/OR,-3086
74,74.1,42.999145,-124.498039,Adaptive,WA/OR,-48
74,74.2,42.999114,-125.301639,Adaptive,WA/OR,-3078
76,76.1,43.333167,-124.403776,Adaptive,WA/OR,-22
76,76.2,43.333133,-125.260436,Adaptive,WA/OR,-2082
78,78.1,43.669073,-124.233048,Adaptive,WA/OR,-24
78,78.2,43.669118,-125.291254,Adaptive,WA/OR,-1908
80,80.1,44.000626,-124.179512,Adaptive,WA/OR,-40
